id,label
1,deer
2,airplane
3,automobile
4,ship
5,airplane
6,cat
7,airplane
8,cat
9,frog
10,cat
11,bird
12,cat
13,cat
14,deer
15,cat
16,airplane
17,deer
18,deer
19,airplane
20,deer
21,airplane
22,ship
23,frog
24,automobile
25,dog
26,automobile
27,automobile
28,cat
29,bird
30,bird
31,bird
32,horse
33,dog
34,bird
35,deer
36,cat
37,cat
38,cat
39,ship
40,cat
41,frog
42,frog
43,truck
44,deer
45,horse
46,automobile
47,deer
48,deer
49,airplane
50,truck
51,bird
52,horse
53,cat
54,frog
55,ship
56,ship
57,frog
58,ship
59,airplane
60,cat
61,dog
62,ship
63,deer
64,frog
65,ship
66,airplane
67,ship
68,horse
69,deer
70,bird
71,truck
72,bird
73,ship
74,deer
75,frog
76,horse
77,airplane
78,frog
79,horse
80,frog
81,bird
82,deer
83,ship
84,bird
85,deer
86,frog
87,dog
88,frog
89,frog
90,truck
91,automobile
92,airplane
93,frog
94,horse
95,airplane
96,frog
97,deer
98,bird
99,truck
100,deer
101,frog
102,deer
103,cat
104,cat
105,ship
106,bird
107,automobile
108,deer
109,frog
110,frog
111,horse
112,deer
113,deer
114,ship
115,ship
116,horse
117,dog
118,horse
119,bird
120,frog
121,airplane
122,automobile
123,horse
124,cat
125,ship
126,cat
127,frog
128,horse
129,ship
130,bird
131,airplane
132,deer
133,frog
134,frog
135,automobile
136,frog
137,dog
138,frog
139,dog
140,automobile
141,frog
142,dog
143,cat
144,deer
145,deer
146,frog
147,frog
148,ship
149,deer
150,frog
151,horse
152,dog
153,dog
154,truck
155,truck
156,horse
157,airplane
158,ship
159,frog
160,frog
161,cat
162,dog
163,bird
164,cat
165,frog
166,automobile
167,frog
168,cat
169,cat
170,cat
171,frog
172,frog
173,ship
174,frog
175,frog
176,ship
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,deer
185,frog
186,dog
187,ship
188,cat
189,cat
190,bird
191,automobile
192,airplane
193,airplane
194,cat
195,truck
196,bird
197,automobile
198,bird
199,ship
200,frog
201,ship
202,cat
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,deer
209,frog
210,deer
211,automobile
212,horse
213,horse
214,frog
215,cat
216,cat
217,dog
218,bird
219,cat
220,cat
221,frog
222,airplane
223,truck
224,deer
225,cat
226,horse
227,horse
228,cat
229,horse
230,truck
231,deer
232,deer
233,deer
234,frog
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,cat
242,dog
243,deer
244,dog
245,cat
246,ship
247,frog
248,truck
249,horse
250,ship
251,deer
252,ship
253,frog
254,airplane
255,cat
256,frog
257,dog
258,ship
259,deer
260,airplane
261,cat
262,truck
263,horse
264,frog
265,frog
266,frog
267,cat
268,bird
269,bird
270,automobile
271,frog
272,truck
273,dog
274,cat
275,horse
276,cat
277,frog
278,bird
279,frog
280,bird
281,frog
282,bird
283,cat
284,ship
285,cat
286,frog
287,ship
288,truck
289,cat
290,deer
291,automobile
292,frog
293,airplane
294,airplane
295,cat
296,frog
297,cat
298,dog
299,ship
300,truck
301,cat
302,frog
303,frog
304,deer
305,frog
306,automobile
307,airplane
308,dog
309,frog
310,deer
311,ship
312,bird
313,deer
314,truck
315,cat
316,frog
317,bird
318,deer
319,cat
320,frog
321,horse
322,horse
323,ship
324,dog
325,horse
326,ship
327,frog
328,dog
329,deer
330,truck
331,bird
332,airplane
333,bird
334,bird
335,dog
336,deer
337,dog
338,truck
339,bird
340,ship
341,ship
342,frog
343,deer
344,bird
345,ship
346,frog
347,ship
348,horse
349,cat
350,truck
351,deer
352,truck
353,deer
354,frog
355,ship
356,cat
357,bird
358,frog
359,airplane
360,frog
361,horse
362,airplane
363,airplane
364,airplane
365,frog
366,frog
367,cat
368,ship
369,truck
370,deer
371,frog
372,dog
373,dog
374,airplane
375,truck
376,airplane
377,frog
378,frog
379,automobile
380,dog
381,truck
382,airplane
383,airplane
384,ship
385,cat
386,cat
387,ship
388,truck
389,dog
390,cat
391,frog
392,frog
393,bird
394,frog
395,cat
396,airplane
397,frog
398,deer
399,dog
400,horse
401,truck
402,truck
403,deer
404,truck
405,airplane
406,airplane
407,ship
408,truck
409,bird
410,frog
411,horse
412,deer
413,frog
414,airplane
415,automobile
416,frog
417,truck
418,deer
419,frog
420,deer
421,frog
422,frog
